lpx,step,elbo,lqz,loss,lpz,epoch,kl
-721.220458984375,10899,-727.345458984375,-64.82713317871094,727.345458984375,-70.95211029052734,90,6.124975204467773
-721.427001953125,10999,-727.596923828125,-64.7825698852539,727.596923828125,-70.9525375366211,91,6.169962406158447
-720.998291015625,11099,-727.2183837890625,-64.73172760009766,727.2183837890625,-70.95184326171875,92,6.220118999481201
-721.0209350585938,11199,-727.2922973632812,-64.67972564697266,727.2922973632812,-70.95105743408203,93,6.271331310272217
-721.0653076171875,11299,-727.371826171875,-64.64080810546875,727.371826171875,-70.94731140136719,94,6.3065032958984375
-720.7804565429688,11399,-727.1287841796875,-64.60990905761719,727.1287841796875,-70.95817565917969,94,6.348265171051025
-720.8131713867188,11499,-727.2008056640625,-64.5745620727539,727.2008056640625,-70.96219635009766,95,6.387628555297852
-720.724853515625,11599,-727.1619262695312,-64.52333068847656,727.1619262695312,-70.96040344238281,96,6.437076091766357
-720.6027221679688,11699,-727.1058349609375,-64.44950866699219,727.1058349609375,-70.95262908935547,97,6.50312614440918
-720.177001953125,11799,-726.7586669921875,-64.3707046508789,726.7586669921875,-70.95240020751953,98,6.581697940826416
-720.2366333007812,11899,-726.8963012695312,-64.2944564819336,726.8963012695312,-70.9541244506836,99,6.659667491912842
-720.0859375,11999,-726.832763671875,-64.2064437866211,726.832763671875,-70.9532470703125,99,6.7468037605285645
-719.8634033203125,12099,-726.693359375,-64.12075805664062,726.693359375,-70.95073699951172,100,6.82998514175415
-719.9930419921875,12199,-726.8893432617188,-64.0600357055664,726.8893432617188,-70.95634460449219,101,6.896307945251465
-719.40185546875,12299,-726.3656005859375,-63.996192932128906,726.3656005859375,-70.95991516113281,102,6.963723659515381
-719.86181640625,12399,-726.8919067382812,-63.93241882324219,726.8919067382812,-70.9625473022461,103,7.0301289558410645
-719.3093872070312,12499,-726.4147338867188,-63.86226272583008,726.4147338867188,-70.96759796142578,104,7.105337142944336
-719.1456909179688,12599,-726.3290405273438,-63.789306640625,726.3290405273438,-70.97266387939453,104,7.183361053466797
-719.0848999023438,12699,-726.3433227539062,-63.71601104736328,726.3433227539062,-70.97445678710938,105,7.25844669342041
-718.4055786132812,12799,-725.7265014648438,-63.651363372802734,725.7265014648438,-70.97225189208984,106,7.320890426635742
-718.980224609375,12899,-726.3547973632812,-63.61613464355469,726.3547973632812,-70.99072265625,107,7.3745903968811035
-718.477783203125,12999,-725.9003295898438,-63.56793212890625,725.9003295898438,-70.99048614501953,108,7.422553539276123
-718.3901977539062,13099,-725.8477172851562,-63.5295524597168,725.8477172851562,-70.98706817626953,109,7.457513332366943
-718.39111328125,13199,-725.8743286132812,-63.4993896484375,725.8743286132812,-70.98262023925781,109,7.483227729797363
-718.1839599609375,13299,-725.6975708007812,-63.46894454956055,725.6975708007812,-70.98259735107422,110,7.513648986816406
-717.9972534179688,13399,-725.53173828125,-63.44938659667969,725.53173828125,-70.98390197753906,111,7.534513473510742
-718.1614990234375,13499,-725.7188720703125,-63.427528381347656,725.7188720703125,-70.98495483398438,112,7.557429313659668
-718.3756103515625,13599,-725.96044921875,-63.403953552246094,725.96044921875,-70.98883056640625,113,7.584875106811523
-718.2355346679688,13699,-725.8433227539062,-63.37590408325195,725.8433227539062,-70.98371124267578,114,7.607804775238037
-718.0234375,13799,-725.6569213867188,-63.34733963012695,725.6569213867188,-70.9808120727539,114,7.633476734161377
-718.0048828125,13899,-725.66357421875,-63.317440032958984,725.66357421875,-70.97615814208984,115,7.658714294433594
-717.9263916015625,13999,-725.6121215820312,-63.30003356933594,725.6121215820312,-70.98577880859375,116,7.685748100280762
-718.0611572265625,14099,-725.7670288085938,-63.28651809692383,725.7670288085938,-70.99242401123047,117,7.705905437469482
-717.9284057617188,14199,-725.65673828125,-63.26444625854492,725.65673828125,-70.9928207397461,118,7.728372573852539
-717.8877563476562,14299,-725.6380615234375,-63.23453903198242,725.6380615234375,-70.98486328125,119,7.7503228187561035
-717.6810302734375,14399,-725.4522094726562,-63.210140228271484,725.4522094726562,-70.98131561279297,119,7.771174430847168
-717.8134155273438,14499,-725.6138305664062,-63.18086242675781,725.6138305664062,-70.98123931884766,120,7.800376892089844
-717.8594360351562,14599,-725.6868286132812,-63.15386199951172,725.6868286132812,-70.98123931884766,121,7.827381610870361
-717.41748046875,14699,-725.2698974609375,-63.12830352783203,725.2698974609375,-70.9807357788086,122,7.852433204650879
-717.685302734375,14799,-725.5783081054688,-63.0860481262207,725.5783081054688,-70.97907257080078,123,7.893027305603027
-717.121337890625,14899,-725.0687255859375,-63.02653503417969,725.0687255859375,-70.9738998413086,124,7.947360515594482
-717.2649536132812,14999,-725.28662109375,-62.95062255859375,725.28662109375,-70.97230529785156,124,8.021684646606445
-716.8714599609375,15099,-724.9599609375,-62.886680603027344,724.9599609375,-70.97518157958984,125,8.088504791259766
-717.3775634765625,15199,-725.531982421875,-62.82194137573242,725.531982421875,-70.97638702392578,126,8.15444564819336
-716.8837890625,15299,-725.1002807617188,-62.762638092041016,725.1002807617188,-70.97916412353516,127,8.216526985168457
